review_text,rating,date,language,sentiment,confidence,sentiment_clean,predicted_category,category_confidence,category,confidence_band,review_length,label_source,label,label_method
"these guys are terrible, they dont take any responsibility. customer service ignores you and closes tickets. absolute worst customer service.",1,2026-08-12 08:42:56,English,Negative,0.9998,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.5823379755020142,Driver Behavior & Safety,medium,141,zero-shot-bart-large-mnli,Support & Refunds,keyword_rule
this happened to me multiple times where i order food and it takes hours for a rider to get assigned. there should be an option to cancel the order after a certain time limit because we have other things to do than waiting for 2h for food. the numbers for restaurants in the app dont work half the time too. the hot line is useless most of the time,1,2026-08-11 17:58:43,English,Negative,0.9998,NEGATIVE,"customer support, refunds, complaint handling, unhelpful support",0.5373790264129639,Support & Refunds,medium,348,zero-shot-bart-large-mnli,Delivery Issues,keyword_rule
this app is a not trust that is laying 50% discunt frist ride. not it offer working,1,2026-08-11 17:12:48,English,Negative,0.9994,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.4194739460945129,Driver Behavior & Safety,low,83,zero-shot-bart-large-mnli,Pricing & Bidding,keyword_rule
"The new “Bid” feature has made PickMe extremely frustrating. Bidding gets activated automatically, and drivers take a long time to accept rides because they wait for higher offers. Many drivers then ask for an extra Rs.100 or more for a trip. This makes booking slow, stressful, and unpredictable. PickMe should give passengers the option to disable bidding and keep a fixed-fare system. The app was much more convenient before this feature.",1,2026-08-11 15:28:32,English,Negative,0.9963,NEGATIVE,"pricing, surge pricing, bidding, driver offers, high fares, expensive, discounts",0.7315916419029236,Pricing & Bidding,high,441,zero-shot-bart-large-mnli,Pricing & Bidding,auto_high_confidence
"after taking 4 hours, they cancelled my food order reason- drivers are available to pick up that order 🤣",1,2026-08-09 23:16:05,English,Negative,0.9939,NEGATIVE,"customer support, refunds, complaint handling, unhelpful support",0.4342761933803558,Support & Refunds,low,104,zero-shot-bart-large-mnli,Delivery Issues,keyword_rule
"without any reason they permanently blocked me , also not provide any contact numbers to contact office. kindly mention here your customer care numbers",1,2026-08-09 07:17:26,English,Negative,0.9976,NEGATIVE,"customer support, refunds, complaint handling, unhelpful support",0.6191598176956177,Support & Refunds,medium,151,zero-shot-bart-large-mnli,Support & Refunds,keyword_rule
they virtually create a demand to vehicles and charging from customers by saying surge . if you took meeter taxi may cost 130 per km . when you travel with pick for 5 km they charge. fair + 400 surge . but when you took meter taxi it may cost 130 *5,1,2026-08-03 10:57:02,English,Negative,0.9541,NEGATIVE,"pricing, surge pricing, bidding, driver offers, high fares, expensive, discounts",0.7907019257545471,Pricing & Bidding,high,249,zero-shot-bart-large-mnli,Pricing & Bidding,auto_high_confidence
"Deserves 0 stars. Worst delivery app I’ve ever used. Waited nearly 2 hours while my food sat cold at the restaurant for 90 mins with no driver assigned. Customer support offers zero help, just repetitive canned responses. Customer support repeatedly promised a driver was coming soon, offering no real solutions. Do not accept orders if you lack rider coverage. Extremely disappointing experience.",1,2026-08-02 21:05:01,English,Negative,0.9998,NEGATIVE,"food delivery delays, late orders, missing items, wrong orders, cold food",0.7679368257522583,Delivery Issues,high,397,zero-shot-bart-large-mnli,Delivery Issues,auto_high_confidence
its has become a crapy app. food delivery is in a sad state. have to wait for hours to get food now. it takes half an hour to assign a drive after food is ready. if you don't have riders near by don't take orders. wasting people's time an money. booking taxi they can cancel without notice. but if we cancel we are charged. why only 1 sided. if they cancel they should be fined as well.,1,2026-08-01 21:05:02,English,Negative,0.9997,NEGATIVE,"food delivery delays, late orders, missing items, wrong orders, cold food",0.6238077878952026,Delivery Issues,medium,386,zero-shot-bart-large-mnli,Delivery Issues,keyword_rule
"Worst app of all time When I wanted my drivers details they cause I need to know if my child arrived at the class. They said wait 24 hours to get the details , so that mean I need to 24 hours to see what has happened to my child. A another time when someone accepted my trip I waited 20 minutes but the accepted person did not arrive so I cancelled it beacase of the driver did not come, For that they charged me money.",1,2026-08-01 14:57:11,English,Negative,0.9998,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.5890138745307922,Driver Behavior & Safety,medium,419,zero-shot-bart-large-mnli,Driver Behavior & Safety,keyword_rule
